id,app,name,applied
1,contenttypes,0001_initial,2018-05-06 08:47:00.799861
2,auth,0001_initial,2018-05-06 08:47:01.128003
3,admin,0001_initial,2018-05-06 08:47:01.393646
4,admin,0002_logentry_remove_auto_add,2018-05-06 08:47:01.659284
5,contenttypes,0002_remove_content_type_name,2018-05-06 08:47:01.956172
6,auth,0002_alter_permission_name_max_length,2018-05-06 08:47:02.284351
7,auth,0003_alter_user_email_max_length,2018-05-06 08:47:02.612456
8,auth,0004_alter_user_username_opts,2018-05-06 08:47:02.862484
9,auth,0005_alter_user_last_login_null,2018-05-06 08:47:03.143736
10,auth,0006_require_contenttypes_0002,2018-05-06 08:47:03.257752
11,auth,0007_alter_validators_add_error_messages,2018-05-06 08:47:03.514977
12,auth,0008_alter_user_username_max_length,2018-05-06 08:47:03.894422
13,auth,0009_alter_user_last_name_max_length,2018-05-06 08:47:04.183495
14,sessions,0001_initial,2018-05-06 08:47:04.425112
15,movichome,0001_initial,2018-05-06 10:05:49.289954
16,movichome,0002_pagescrape_title,2018-05-06 10:48:51.590364
17,movichome,0003_remove_pagescrape_title,2018-05-06 10:48:51.871629
18,movichome,0004_pagescrape_title,2018-05-06 10:48:52.173382
19,movichome,0005_pagescrape_description_2,2018-05-06 11:47:14.703000
20,admin,0003_logentry_add_action_flag_choices,2019-02-25 08:17:32.732326
